A,B,M,N,rhoa,k,err
27,17,24,23,0.504491,29.5849,0.03
27,17,23,22,0.498745,37.6045,0.03
27,17,22,21,0.503642,37.9737,0.03
27,17,21,20,0.499344,29.2831,0.03
27,17,20,19,0.502193,17.1001,0.03
27,17,19,18,0.481515,5.88735,0.03
28,18,27,26,0.7708,9.42437,0.03
28,18,26,25,0.257005,8.75123,0.03
28,18,25,24,0.50225,29.4535,0.03
28,18,24,23,0.504501,38.0385,0.03
28,18,23,22,0.498868,37.6138,0.03
28,18,22,21,0.502774,29.4842,0.03
28,18,21,20,0.500315,17.0361,0.03
28,18,20,19,0.501074,6.1265,0.03
